problem,top_naive_model,top_naive_score,top_overlap_model,top_overlap_score,Score@5_gemini2.5pro,coverage_gemini2.5pro,Score@5_gpt5,coverage_gpt5,Score@5_grok4fastreasoning,coverage_grok4fastreasoning
cant_be_late_high_availability_loose_deadline,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
cant_be_late_high_availability_tight_deadline,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
cant_be_late_low_availability_loose_deadline,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
cant_be_late_low_availability_tight_deadline,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
cant_be_late_multi_high_availability_loose_deadline,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
cant_be_late_multi_high_availability_tight_deadline,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
cant_be_late_multi_low_availability_loose_deadline,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
cant_be_late_multi_low_availability_tight_deadline,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
cloudcast,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
cross_entropy,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
decoding_attn,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
flash_attn,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
fused_linear_ce,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
fused_linear_jsd,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
gdpa_attention,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
gemm_optimization_annoying,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
gemm_optimization_k_skewed,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
gemm_optimization_near_tile,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
gemm_optimization_rectangles,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
gemm_optimization_squares,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
gemm_optimization_transformerish,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
group_gemm,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
imagenet_pareto_1m,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
imagenet_pareto_200k,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
imagenet_pareto_2_5m,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
imagenet_pareto_500k,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
imagenet_pareto_5m,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
llm_sql_large,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
llm_sql_small,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
mamba2_scan,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
mixed_gemm,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
ragged_attention,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
vdb_pareto_balanced,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
vdb_pareto_high_recall,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
vdb_pareto_low_latency,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
vdb_pareto_recall80_latency,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
vdb_pareto_recall95_latency,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
vector_addition_2_20,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
vector_addition_2_24,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
vector_addition_2_28,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
symbolic_regression_mccormick,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
symbolic_regression_mixed_polyexp_4d,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
symbolic_regression_peaks,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
symbolic_regression_ripple,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
symbolic_regression_sincos,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
poc_generation_heap_buffer_overflow,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
poc_generation_heap_use_after_free,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
poc_generation_stack_buffer_overflow,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
poc_generation_uninitialized_value,grok4fastreasoning,0.000000,,0.000000,0.000000,0,0.000000,0,0.000000,0
